Acronym,Class I Area,(NH4)2SO4 (µg/m³),NH4NO3 (µg/m³),OM (µg/m³),EC (µg/m³),Soil (µg/m³),CM (µg/m³),Sea Salt (µg/m³),Rayleigh (Mm-1),Type
acad,Acadia NP,0.23,0.1,1.67,0.02,0.25,2.14,0.14,12,Annual
agti,Agua Tibia Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.14,11,Annual
alla,Alpine Lakes Wilderness,0.12,0.1,0.6,0.02,0.23,1.3,0.06,11,Annual
anac,Anaconda Pintler Wilderness,0.12,0.1,0.6,0.02,0.39,1.79,0.02,10,Annual
anad,Ansel Adams Wilderness,0.12,0.1,0.58,0.02,0.46,2.88,0.03,9,Annual
arch,Arches NP,0.12,0.1,0.6,0.02,0.5,2.92,0.01,9,Annual
badl,Badlands NP,0.12,0.1,0.6,0.02,0.5,3,0.01,11,Annual
band,Bandelier NM,0.12,0.1,0.6,0.02,0.5,2.86,0.02,9,Annual
bese,Bering Sea Wilderness, , , , , , , , ,Annual
bibe,Big Bend NP,0.12,0.1,0.6,0.02,0.5,3,0.03,10,Annual
blca,Black Canyon of the Gunnison NP,0.12,0.1,0.6,0.02,0.49,2.59,0.01,9,Annual
boma,Bob Marshall Wilderness,0.12,0.1,0.6,0.02,0.44,2.34,0.01,10,Annual
bosq,Bosque del Apache Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.04,10,Annual
bowa,Boundary Waters Canoe Area Wilderness,0.23,0.1,1.71,0.02,0.31,2.53,0.02,11,Annual
brba,Bradwell Bay Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.1,11,Annual
bret,Breton Wilderness,0.23,0.1,1.78,0.02,0.48,3.01,0.19,11,Annual
brid,Bridger Wilderness,0.12,0.1,0.6,0.02,0.44,1.88,0.01,9,Annual
brig,Brigantine Wilderness,0.23,0.1,1.8,0.02,0.47,3,0.22,12,Annual
brca,Bryce Canyon NP,0.12,0.1,0.6,0.02,0.5,2.87,0.01,9,Annual
camo,Cabinet Mountains Wilderness,0.12,0.1,0.6,0.02,0.41,2.31,0.02,10,Annual
cacr,Caney Creek Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.03,11,Annual
cany,Canyonlands NP,0.12,0.1,0.6,0.02,0.5,2.92,0.01,9,Annual
cape,Cape Romain Wilderness,0.23,0.1,1.8,0.02,0.45,3,0.2,12,Annual
care,Capitol Reef NP,0.11,0.1,0.58,0.02,0.5,2.78,0,9,Annual
cari,Caribou Wilderness,0.12,0.1,0.6,0.02,0.44,1.82,0.01,10,Annual
cave,Carlsbad Caverns NP,0.12,0.1,0.6,0.02,0.5,3,0.02,9,Annual
chas,Chassahowitzka Wilderness,0.23,0.1,1.81,0.02,0.5,3,0.08,11,Annual
chir,Chiricahua NM,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
chir,Chiricahua Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
cohu,Cohutta Wilderness,0.23,0.1,1.71,0.02,0.5,2.45,0.02,11,Annual
crla,Crater Lake NP,0.12,0.1,0.6,0.02,0.39,1.67,0.02,9,Annual
crmo,Craters of the Moon NM,0.12,0.1,0.6,0.02,0.5,2.92,0.01,10,Annual
cuca,Cucamonga Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.04,9,Annual
dena,Denali NP & Pres,0.12,0.05,0.6,0.02,0.14,1.12,0.04,11,Annual
deso,Desolation Wilderness,0.12,0.1,0.6,0.02,0.43,1.92,0.01,9,Annual
dipe,Diamond Peak Wilderness,0.12,0.1,0.6,0.02,0.39,1.67,0.02,9,Annual
doso,Dolly Sods Wilderness,0.23,0.1,1.8,0.02,0.43,2.19,0.02,10,Annual
dola,Dome Land Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,10,Annual
eaca,Eagle Cap Wilderness,0.12,0.1,0.6,0.02,0.5,2.99,0.04,10,Annual
eane,Eagles Nest Wilderness,0.12,0.1,0.6,0.02,0.48,2.12,0,8,Annual
emig,Emigrant Wilderness,0.12,0.1,0.6,0.02,0.44,3,0.02,10,Annual
ever,Everglades NP,0.23,0.1,1.79,0.02,0.5,3,0.31,11,Annual
fitz,Fitzpatrick Wilderness,0.12,0.1,0.6,0.02,0.44,1.88,0.01,9,Annual
flto,Flat Tops Wilderness,0.12,0.1,0.6,0.02,0.48,2.12,0,8,Annual
gali,Galiuro Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
gamo,Gates of the Mountains Wilderness,0.12,0.1,0.6,0.02,0.35,1.55,0.01,9,Annual
gemo,Gearhart Mountain Wilderness,0.12,0.1,0.6,0.02,0.39,1.67,0.02,9,Annual
gila,Gila Wilderness,0.12,0.1,0.6,0.02,0.5,2.54,0.01,9,Annual
glac,Glacier NP,0.11,0.1,0.59,0.02,0.5,3,0.01,11,Annual
glpe,Glacier Peak Wilderness,0.11,0.1,0.6,0.02,0.19,1.32,0.02,11,Annual
goro,Goat Rocks Wilderness,0.12,0.1,0.6,0.02,0.23,1.23,0.03,10,Annual
grca,Grand Canyon NP,0.12,0.1,0.6,0.02,0.5,2.88,0.02,9,Annual
grte,Grand Teton NP,0.12,0.1,0.6,0.02,0.41,1.92,0.01,9,Annual
grgu,Great Gulf Wilderness,0.23,0.1,1.7,0.02,0.25,2.65,0.03,11,Annual
grsa,Great Sand Dunes NP & Pres,0.12,0.1,0.6,0.02,0.5,2.99,0.01,9,Annual
grsm,Great Smoky Mountains NP,0.23,0.1,1.8,0.02,0.48,2.92,0.02,11,Annual
gumo,Guadalupe Mountains NP,0.12,0.1,0.6,0.02,0.5,3,0.02,9,Annual
hale,Haleakala NP,0.12,0.1,0.57,0.02,0.23,2.93,0.25,10,Annual
havo,Hawaii Volcanoes NP,0.12,0.1,0.45,0.02,0.16,1.42,0.29,10,Annual
heca,Hells Canyon Wilderness,0.12,0.1,0.6,0.02,0.48,2.97,0.01,11,Annual
herc,Hercules-Glades Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.02,11,Annual
hoov,Hoover Wilderness,0.12,0.1,0.6,0.02,0.5,2.97,0.01,9,Annual
isro,Isle Royale NP,0.23,0.1,1.55,0.02,0.24,2.89,0.03,12,Annual
jari,James River Face Wilderness,0.23,0.1,1.8,0.02,0.48,3,0.02,11,Annual
jarb,Jarbidge Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
jomu,John Muir Wilderness,0.12,0.1,0.58,0.02,0.46,2.88,0.03,9,Annual
jotr,Joshua Tree NP,0.12,0.1,0.6,0.02,0.5,3,0.03,10,Annual
joyc,Joyce Kilmer-Slickrock Wilderness,0.23,0.1,1.8,0.02,0.48,2.92,0.02,11,Annual
kais,Kaiser Wilderness,0.12,0.1,0.58,0.02,0.46,2.88,0.03,9,Annual
kalm,Kalmiopsis Wilderness,0.12,0.1,0.6,0.02,0.2,2.24,0.23,12,Annual
kica,Kings Canyon,0.11,0.1,0.6,0.02,0.5,3,0.04,11,Annual
laga,La Garita Wilderness,0.12,0.1,0.6,0.02,0.49,2.59,0.01,9,Annual
lavo,Lassen Volcanic NP,0.12,0.1,0.6,0.02,0.44,1.82,0.01,10,Annual
labe,Lava Beds NM,0.12,0.1,0.6,0.02,0.44,2.36,0.01,10,Annual
ligo,Linville Gorge Wilderness,0.23,0.1,1.8,0.02,0.45,2.6,0.02,11,Annual
lost,Lostwood Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.03,11,Annual
lybr,Lye Brook Wilderness,0.23,0.1,1.59,0.02,0.28,1.79,0.02,11,Annual
maca,Mammoth Cave NP,0.23,0.1,1.8,0.02,0.5,2.73,0.02,11,Annual
mamo,Marble Mountain Wilderness,0.12,0.1,0.52,0.02,0.42,2.08,0.04,10,Annual
mabe,Maroon Bells-Snowmass Wilderness,0.12,0.1,0.6,0.02,0.48,2.12,0,8,Annual
maza,Mazatzal Wilderness,0.12,0.1,0.6,0.02,0.5,3,0.02,10,Annual
medi,Medicine Lake Wilderness,0.12,0.1,0.6,0.02,0.48,3,0.01,11,Annual
meve,Mesa Verde NP,0.12,0.1,0.6,0.02,0.5,2.88,0,9,Annual
ming,Mingo Wilderness,0.23,0.1,1.83,0.02,0.51,3.05,0.04,12,Annual
mimo,Mission Mountains Wilderness,0.12,0.1,0.6,0.02,0.44,2.34,0.01,10,Annual
moke,Mokelumne Wilderness,0.12,0.1,0.6,0.02,0.43,1.92,0.01,9,Annual
moos,Moosehorn Wilderness,0.23,0.1,1.79,0.02,0.23,2.56,0.11,12,Annual
moad,Mount Adams Wilderness,0.12,0.1,0.6,0.02,0.23,1.23,0.03,10,Annual
moba,Mount Baldy Wilderness,0.12,0.1,0.57,0.02,0.5,2.82,0.01,9,Annual
moho,Mount Hood Wilderness,0.12,0.1,0.6,0.02,0.29,1.58,0.05,10,Annual
moje,Mount Jefferson Wilderness,0.12,0.1,0.6,0.02,0.26,1.98,0.05,11,Annual
mora,Mount Rainier NP,0.12,0.1,0.6,0.02,0.24,2.27,0.07,11,Annual
mowa,Mount Washington Wilderness,0.12,0.1,0.6,0.02,0.26,1.98,0.05,11,Annual
mozi,Mount Zirkel Wilderness,0.12,0.1,0.6,0.02,0.45,2.69,0,8,Annual
mola,Mountain Lakes Wilderness,0.12,0.1,0.6,0.02,0.39,1.67,0.02,9,Annual
noab,North Absaroka Wilderness,0.12,0.1,0.6,0.02,0.43,2.84,0.01,9,Annual
noca,North Cascades NP,0.11,0.1,0.6,0.02,0.19,1.32,0.02,11,Annual
okef,Okefenokee Wilderness,0.23,0.1,1.8,0.02,0.5,3,0.08,11,Annual
olym,Olympic NP,0.12,0.1,0.6,0.02,0.15,1.88,0.14,11,Annual
otcr,Otter Creek Wilderness,0.23,0.1,1.8,0.02,0.43,2.19,0.02,10,Annual
pasa,Pasayten Wilderness,0.12,0.1,0.6,0.02,0.33,1.5,0.01,10,Annual
peco,Pecos Wilderness,0.12,0.1,0.6,0.02,0.5,2.29,0.03,8,Annual
pefo,Petrified Forest NP,0.12,0.1,0.6,0.02,0.5,3,0.01,9,Annual
