Acronym,Class I Area,Jan,Feb,Mar ,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
acad,Acadia NP,2.74,2.46,2.45,2.66,2.67,2.73,2.99,3.03,3.16,2.91,2.89,2.96
agti,Agua Tibia Wilderness,2.1,2.08,2.11,1.98,1.98,1.93,1.93,2.01,2.02,1.99,1.87,1.95
alla,Alpine Lakes Wilderness,3.86,3.58,3.04,2.92,2.99,2.58,2.62,2.67,2.97,3.6,4,3.99
anac,Anaconda Pintler Wilderness,2.75,2.46,2.24,2.08,2.06,2.01,1.76,1.72,1.88,2.22,2.66,2.74
anad,Ansel Adams Wilderness,2.56,2.34,2.2,1.88,1.79,1.59,1.52,1.52,1.59,1.7,2.01,2.34
arch,Arches NP,2.28,2.12,1.73,1.57,1.5,1.28,1.34,1.47,1.51,1.56,1.9,2.13
badl,Badlands NP,2.31,2.31,2.31,2.21,2.34,2.25,2.08,2.05,2.02,2.05,2.38,2.33
band,Bandelier NM,2.1,1.9,1.72,1.51,1.53,1.38,1.63,1.87,1.8,1.59,1.87,2.04
bese,Bering Sea Wilderness,3.02,3.17,3.2,3.19,3.23,3.34,3.78,4.16,3.64,3.19,3.12,3.13
bibe,Big Bend NP,1.72,1.61,1.44,1.38,1.47,1.48,1.58,1.74,1.83,1.63,1.63,1.7
blca,Black Canyon of the Gunnison NP,2.15,2.05,1.83,1.75,1.74,1.51,1.59,1.78,1.8,1.68,1.96,2.06
boma,Bob Marshall Wilderness,2.82,2.54,2.35,2.22,2.21,2.19,1.98,1.92,2.15,2.43,2.78,2.81
bosq,Bosque del Apache Wilderness,2.03,1.82,1.55,1.37,1.36,1.27,1.61,1.79,1.73,1.54,1.73,2
bowa,Boundary Waters Canoe Area Wilderness,2.5,2.25,2.28,2.09,2.2,2.43,2.57,2.71,2.78,2.38,2.64,2.64
brba,Bradwell Bay Wilderness,2.98,2.78,2.73,2.69,2.74,3.04,3.17,3.21,3.1,2.96,2.94,3.06
bret,Breton Wilderness,2.91,2.76,2.74,2.72,2.83,2.94,3.1,3.07,2.97,2.82,2.83,2.9
brid,Bridger Wilderness,2.22,2.1,2.04,1.95,1.95,1.67,1.46,1.44,1.68,1.83,2.19,2.16
brig,Brigantine Wilderness,2.49,2.32,2.38,2.28,2.5,2.56,2.69,2.81,2.82,2.71,2.45,2.5
brca,Bryce Canyon NP,2.31,2.16,1.82,1.56,1.47,1.26,1.3,1.46,1.46,1.55,1.87,2.15
camo,Cabinet Mountains Wilderness,3.07,2.73,2.45,2.26,2.24,2.21,1.98,1.92,2.19,2.53,3.03,3.11
cacr,Caney Creek Wilderness,2.77,2.53,2.37,2.43,2.68,2.71,2.59,2.6,2.71,2.69,2.67,2.79
cany,Canyonlands NP,2.32,2.16,1.78,1.58,1.51,1.28,1.36,1.53,1.55,1.58,1.93,2.17
cape,Cape Romain Wilderness,2.66,2.47,2.42,2.32,2.56,2.8,2.82,3.04,3.03,2.86,2.65,2.7
care,Capitol Reef NP,2.36,2.22,1.84,1.63,1.54,1.31,1.36,1.52,1.55,1.61,1.95,2.22
cari,Caribou Wilderness,2.96,2.58,2.35,2.1,2.01,1.85,1.79,1.82,1.88,2.03,2.5,2.82
cave,Carlsbad Caverns NP,2.07,1.81,1.5,1.42,1.51,1.48,1.72,1.9,2.03,1.64,1.76,2
chas,Chassahowitzka Wilderness,3.03,2.82,2.74,2.65,2.63,3,3.02,3.15,3.14,3.03,2.97,3.09
chir,Chiricahua NM,1.87,1.79,1.52,1.24,1.22,1.13,1.64,1.87,1.66,1.45,1.55,1.89
chir,Chiricahua Wilderness,1.84,1.76,1.49,1.22,1.2,1.12,1.64,1.86,1.64,1.43,1.53,1.87
cohu,Cohutta Wilderness,2.84,2.61,2.49,2.36,2.72,2.97,3,3.07,3.08,2.89,2.72,2.85
crla,Crater Lake NP,3.71,3.25,3.07,2.91,2.7,2.5,2.31,2.33,2.49,2.99,3.67,3.74
crmo,Craters of the Moon NM,2.58,2.34,2.03,1.84,1.83,1.65,1.4,1.39,1.52,1.8,2.35,2.54
cuca,Cucamonga Wilderness,2.21,2.14,2.13,1.96,1.95,1.9,1.91,1.96,1.98,1.96,1.9,2.02
dena,Denali NP & Pres,2.48,2.44,2.15,1.96,1.98,2.13,2.47,2.9,2.95,2.84,2.69,2.68
deso,Desolation Wilderness,2.73,2.42,2.18,1.84,1.74,1.56,1.47,1.49,1.58,1.73,2.12,2.54
dipe,Diamond Peak Wilderness,3.82,3.38,3.18,3.04,2.79,2.6,2.33,2.35,2.58,3.18,3.8,3.86
doso,Dolly Sods Wilderness,2.53,2.39,2.38,2.2,2.63,2.65,2.74,2.9,2.94,2.65,2.45,2.61
dola,Dome Land Wilderness,2.26,2.07,2,1.79,1.73,1.63,1.61,1.64,1.68,1.71,1.81,2.01
eaca,Eagle Cap Wilderness,3.44,3.02,2.54,2.31,2.28,2.01,1.78,1.75,1.97,2.61,3.34,3.56
eane,Eagles Nest Wilderness,2.02,2.01,1.87,1.87,1.92,1.69,1.68,1.83,1.86,1.73,1.96,1.97
emig,Emigrant Wilderness,2.67,2.42,2.26,1.92,1.81,1.59,1.49,1.5,1.58,1.72,2.08,2.45
ever,Everglades NP,2.43,2.31,2.26,2.16,2.15,2.38,2.32,2.49,2.55,2.42,2.34,2.39
fitz,Fitzpatrick Wilderness,2.22,2.1,2.04,1.95,1.94,1.68,1.47,1.44,1.68,1.83,2.18,2.16
flto,Flat Tops Wilderness,2.09,2.04,1.87,1.84,1.86,1.62,1.59,1.7,1.79,1.72,1.97,2.03
gali,Galiuro Wilderness,1.8,1.67,1.47,1.21,1.18,1.1,1.43,1.66,1.53,1.42,1.57,1.87
gamo,Gates of the Mountains Wilderness,2.46,2.25,2.15,2.05,2.02,2,1.81,1.77,1.91,2.15,2.37,2.41
gemo,Gearhart Mountain Wilderness,3.3,2.89,2.62,2.45,2.29,2.13,1.88,1.9,2.03,2.47,3.09,3.27
gila,Gila Wilderness,1.93,1.78,1.52,1.31,1.28,1.23,1.72,1.76,1.68,1.5,1.67,1.96
glac,Glacier NP,3.21,2.84,2.69,2.55,2.58,2.56,2.24,2.22,2.57,2.81,3.08,3.13
glpe,Glacier Peak Wilderness,3.69,3.39,2.97,2.85,2.79,2.54,2.49,2.59,2.91,3.45,3.83,3.84
goro,Goat Rocks Wilderness,3.83,3.44,3.1,2.97,2.82,2.6,2.48,2.55,2.88,3.49,3.91,3.98
grca,Grand Canyon NP,2.13,2.01,1.74,1.46,1.36,1.19,1.29,1.49,1.47,1.5,1.75,1.98
grte,Grand Teton NP,2.27,2.14,2.01,1.91,1.9,1.68,1.48,1.44,1.64,1.84,2.16,2.24
grgu,Great Gulf Wilderness,2.51,2.32,2.36,2.41,2.45,2.55,2.72,2.87,2.98,2.8,2.67,2.6
grsa,Great Sand Dunes NP & Pres,2.11,2.04,1.85,1.77,1.8,1.62,1.7,1.97,1.92,1.72,2.04,2.09
grsm,Great Smoky Mountains NP,2.85,2.57,2.51,2.35,2.72,2.98,2.98,3.08,3.1,2.87,2.71,2.85
gumo,Guadalupe Mountains NP,2.14,1.82,1.49,1.38,1.48,1.47,1.78,1.98,2.1,1.6,1.78,2.08
hale,Haleakala NP,2.34,2.27,2.25,2.2,2.13,2.09,2.16,2.14,2.1,2.19,2.33,2.3
havo,Hawaii Volcanoes NP,2.56,2.45,2.47,2.47,2.47,2.45,2.53,2.59,2.55,2.57,2.78,2.55
heca,Hells Canyon Wilderness,3.05,2.65,2.22,1.97,1.91,1.81,1.55,1.52,1.68,2.15,2.9,3.15
herc,Hercules-Glades Wilderness,2.7,2.48,2.3,2.3,2.57,2.59,2.56,2.6,2.69,2.54,2.57,2.72
hoov,Hoover Wilderness,2.63,2.38,2.21,1.88,1.77,1.56,1.46,1.47,1.55,1.69,2.05,2.42
isro,Isle Royale NP,2.53,2.21,2.26,2.07,1.99,2.32,2.65,2.69,2.82,2.28,2.76,2.74
jari,James River Face Wilderness,2.44,2.3,2.29,2.12,2.47,2.58,2.65,2.78,2.82,2.57,2.36,2.51
jarb,Jarbidge Wilderness,2.51,2.28,1.9,1.92,1.97,1.82,1.51,1.37,1.34,1.56,2.14,2.42
jomu,John Muir Wilderness,2.51,2.29,2.2,1.95,1.86,1.65,1.6,1.61,1.69,1.78,2.03,2.28
jotr,Joshua Tree NP,2.06,1.99,1.97,1.82,1.81,1.74,1.68,1.82,1.83,1.81,1.75,1.87
joyc,Joyce Kilmer-Slickrock Wilderness,2.86,2.58,2.51,2.36,2.71,2.97,2.98,3.06,3.08,2.87,2.72,2.85
kais,Kaiser Wilderness,2.58,2.35,2.22,1.9,1.8,1.62,1.56,1.57,1.64,1.75,2.03,2.36
kalm,Kalmiopsis Wilderness,3.57,3.17,3.03,2.88,2.75,2.6,2.52,2.53,2.6,2.92,3.51,3.55
kica,Kings Canyon,2.47,2.26,2.18,1.94,1.85,1.65,1.59,1.6,1.68,1.77,2.01,2.24
laga,La Garita Wilderness,2.14,2.03,1.81,1.7,1.69,1.49,1.63,1.87,1.83,1.67,1.98,2.08
lavo,Lassen Volcanic NP,2.99,2.61,2.38,2.13,2.03,1.86,1.81,1.84,1.9,2.06,2.54,2.86
labe,Lava Beds NM,3.31,2.88,2.64,2.44,2.29,2.13,1.98,1.99,2.1,2.43,3.03,3.26
ligo,Linville Gorge Wilderness,2.71,2.54,2.48,2.31,2.7,2.96,3,3.2,3.19,2.84,2.62,2.74
lost,Lostwood Wilderness,2.51,2.45,2.54,2.06,2.03,2.21,2.23,2.05,2.02,2.13,2.69,2.67
lybr,Lye Brook Wilderness,2.46,2.3,2.34,2.31,2.42,2.47,2.6,2.76,2.84,2.7,2.54,2.51
maca,Mammoth Cave NP,2.79,2.57,2.47,2.56,3.29,3.76,3.67,2.92,2.95,2.71,2.61,2.82
mamo,Marble Mountain Wilderness,3.48,3.08,2.95,2.78,2.67,2.53,2.5,2.52,2.55,2.78,3.32,3.42
mabe,Maroon Bells-Snowmass Wilderness,2.02,1.99,1.84,1.84,1.83,1.59,1.69,1.9,1.89,1.71,1.94,1.96
maza,Mazatzal Wilderness,1.91,1.8,1.59,1.32,1.25,1.13,1.38,1.61,1.51,1.45,1.63,1.89
medi,Medicine Lake Wilderness,2.53,2.46,2.46,2.02,2,2.13,2.12,1.95,1.98,2.1,2.63,2.65
meve,Mesa Verde NP,2.45,2.25,1.98,1.57,1.61,1.31,1.62,1.87,1.75,1.66,2.01,2.3
ming,Mingo Wilderness,2.73,2.52,2.34,2.28,2.53,2.6,2.64,2.67,2.71,2.56,2.56,2.73
mimo,Mission Mountains Wilderness,2.93,2.62,2.37,2.2,2.21,2.19,1.98,1.92,2.15,2.46,2.91,2.96
moke,Mokelumne Wilderness,2.72,2.42,2.2,1.86,1.75,1.57,1.48,1.5,1.58,1.73,2.11,2.52
moos,Moosehorn Wilderness,2.65,2.39,2.38,2.52,2.49,2.57,2.83,2.95,3.07,2.83,2.77,2.78
moad,Mount Adams Wilderness,3.78,3.4,3.1,2.98,2.78,2.6,2.43,2.52,2.84,3.45,3.87,3.92
moba,Mount Baldy Wilderness,2,1.86,1.62,1.34,1.29,1.18,1.5,1.73,1.6,1.51,1.73,2.01
moho,Mount Hood Wilderness,3.71,3.33,3.08,2.96,2.74,2.55,2.34,2.42,2.72,3.35,3.81,3.84
moje,Mount Jefferson Wilderness,3.89,3.48,3.27,3.16,2.89,2.66,2.35,2.35,2.63,3.34,3.92,3.95
mora,Mount Rainier NP,3.93,3.54,3.23,3.12,2.96,2.75,2.61,2.69,3.04,3.66,4.04,4.07
mowa,Mount Washington Wilderness,4.09,3.63,3.49,3.41,3.06,2.8,2.37,2.34,2.62,3.41,4.07,4.1
mozi,Mount Zirkel Wilderness,2,1.99,1.89,1.92,1.98,1.72,1.63,1.7,1.81,1.75,1.97,1.95
mola,Mountain Lakes Wilderness,3.51,3.03,2.8,2.62,2.44,2.25,2.08,2.09,2.23,2.65,3.37,3.52
noab,North Absaroka Wilderness,2.16,2.05,2.01,1.95,1.94,1.77,1.58,1.5,1.67,1.87,2.12,2.14
noca,North Cascades NP,3.6,3.32,2.99,2.88,2.74,2.59,2.49,2.63,2.97,3.43,3.77,3.76
okef,Okefenokee Wilderness,2.94,2.73,2.73,2.65,2.74,3.11,3,3.17,3.16,3.05,2.96,3.03
olym,Olympic NP,3.8,3.5,3.3,3.21,2.76,2.89,2.61,2.94,3.23,3.73,3.99,3.95
otcr,Otter Creek Wilderness,2.55,2.41,2.4,2.23,2.64,2.69,2.8,2.96,3,2.69,2.48,2.63
pasa,Pasayten Wilderness,3.65,3.34,2.97,2.84,2.72,2.53,2.45,2.56,2.88,3.39,3.78,3.81
peco,Pecos Wilderness,2.09,1.93,1.73,1.57,1.58,1.44,1.65,1.9,1.84,1.63,1.9,2.05
pefo,Petrified Forest NP,2.11,1.95,1.64,1.4,1.32,1.18,1.46,1.72,1.58,1.53,1.81,2.09
pimo,Pine Mountain Wilderness,1.96,1.86,1.64,1.35,1.28,1.15,1.38,1.62,1.53,1.48,1.66,1.93
pinn,Pinnacles NM,2.84,2.86,2.87,2.27,2.15,1.99,1.91,1.97,1.98,2.1,2.16,2.46
pore,Point Reyes NS,2.96,2.73,2.61,2.28,2.2,2.04,2.12,2.16,2.18,2.23,2.47,2.75
prra,Presidential Range-Dry River Wilderness,2.52,2.32,2.37,2.42,2.49,2.61,2.78,2.93,3.03,2.83,2.68,2.59
rawa,Rawah Wilderness,1.91,1.96,1.89,1.96,2.04,1.79,1.71,1.78,1.86,1.75,1.94,1.9
redr,Red Rock Lakes Wilderness,2.39,2.2,2.06,1.95,1.92,1.8,1.6,1.54,1.69,1.93,2.3,2.37
redw,Redwood NP,3.31,3.1,3.16,3.04,3.11,3.08,3.26,3.28,3.11,2.99,3.2,3.12
romo,Rocky Mountain NP,1.77,1.85,1.84,1.95,2.04,1.8,1.73,1.77,1.84,1.7,1.84,1.76
