Acronym,Class I Area,Jan,Feb,Mar ,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
acad,Acadia NP,3.9,3.48,3.4,3.66,3.71,3.81,4.19,4.27,4.44,4.13,4.1,4.19
agti,Agua Tibia Wilderness,2.94,2.95,3.02,2.85,2.88,2.81,2.78,2.9,2.9,2.83,2.56,2.69
alla,Alpine Lakes Wilderness,5.35,4.96,4.27,4.11,4.18,3.64,3.68,3.73,4.12,4.98,5.51,5.53
anac,Anaconda Pintler Wilderness,4,3.56,3.18,2.9,2.85,2.75,2.33,2.25,2.52,3.1,3.81,3.97
anad,Ansel Adams Wilderness,3.55,3.25,3.04,2.54,2.38,2.05,1.91,1.91,2.03,2.21,2.72,3.21
arch,Arches NP,3.25,2.99,2.26,1.97,1.86,1.48,1.59,1.82,1.88,1.96,2.6,3.02
badl,Badlands NP,3.37,3.33,3.27,3.05,3.25,3.15,2.89,2.81,2.74,2.82,3.41,3.38
band,Bandelier NM,2.91,2.59,2.22,1.87,1.9,1.67,2.11,2.54,2.37,2,2.49,2.78
bese,Bering Sea Wilderness,4.39,4.57,4.6,4.58,4.57,4.7,5.26,5.73,5.11,4.59,4.52,4.54
bibe,Big Bend NP,2.2,2.03,1.75,1.67,1.84,1.87,2.03,2.34,2.47,2.09,2.1,2.22
blca,Black Canyon of the Gunnison NP,3.05,2.89,2.47,2.31,2.28,1.89,2.04,2.36,2.37,2.18,2.71,2.92
boma,Bob Marshall Wilderness,4.08,3.66,3.35,3.11,3.08,3.04,2.68,2.59,2.94,3.42,3.98,4.05
bosq,Bosque del Apache Wilderness,2.77,2.43,1.95,1.62,1.62,1.47,2.06,2.4,2.29,1.92,2.27,2.71
bowa,Boundary Waters Canoe Area Wilderness,3.73,3.35,3.29,2.91,3,3.44,3.68,3.88,3.98,3.45,3.89,3.91
brba,Bradwell Bay Wilderness,4.18,3.89,3.82,3.76,3.85,4.3,4.49,4.54,4.39,4.19,4.15,4.3
bret,Breton Wilderness,4.1,3.89,3.87,3.85,4.02,4.21,4.44,4.38,4.23,3.99,4.01,4.11
brid,Bridger Wilderness,3.25,3.05,2.9,2.67,2.62,2.17,1.81,1.79,2.17,2.43,3.15,3.17
brig,Brigantine Wilderness,3.53,3.24,3.3,3.15,3.49,3.63,3.84,4.02,4.02,3.82,3.48,3.55
brca,Bryce Canyon NP,3.24,3,2.4,1.96,1.8,1.45,1.52,1.8,1.78,1.93,2.52,2.99
camo,Cabinet Mountains Wilderness,4.42,3.93,3.5,3.18,3.13,3.06,2.67,2.59,3.01,3.58,4.33,4.46
cacr,Caney Creek Wilderness,3.9,3.52,3.31,3.41,3.83,3.88,3.69,3.68,3.82,3.76,3.77,3.93
